Order,Material,REL Date,FO Due Date,CNF Date,DLV Date,Quantity of goods received,Ord.quantity
FO6272527,PN 62927,2021-12-16,2022-01-04,2022-01-04,2022-01-04,1,
FO6272599,PN 62623,2021-12-16,2022-01-04,2022-01-04,2022-01-04,1,
FO6272579,PN 62637,2021-12-16,2022-01-05,2022-01-05,2022-01-05,1,
FO6272596,PN 62637,2021-12-16,2022-01-06,2022-01-06,2022-01-06,1,
FO6272595,PN 62637,2021-12-16,2022-01-07,2022-01-07,2022-01-07,1,
FO6272620,PN 65076,2021-12-16,2022-01-05,2022-01-05,2022-01-05,30,
FO6272629,PN 68947,2021-12-16,2022-01-05,2022-01-05,2022-01-05,30,
FO6272626,PN 62370,2021-12-16,2022-01-06,2022-01-06,2022-01-06,4,
FO6272622,PN 69931,2021-12-16,2022-01-06,2022-01-06,2022-01-07,1,
FO6272643,PN 66831,2021-12-16,2022-01-05,2022-01-05,2022-01-06,50,
FO6272677,PN 66831,2021-12-16,2022-01-07,2022-01-07,2022-01-07,50,
FO6272679,PN 66051,2021-12-16,2022-01-05,2022-01-05,2022-01-05,100,
FO6272660,PN 64189,2021-12-16,2022-01-07,2022-01-07,2022-01-07,50,
FO6272695,PN 55724,2021-12-16,2022-01-04,2022-01-04,2022-01-04,62,
FO6272726,PN 57324,2021-12-16,2022-01-06,2022-01-05,2022-01-04,13,
FO6272722,PN 61832,2021-12-16,2022-01-04,2022-01-04,2022-01-04,30,
FO6279026,PN 56353,2021-12-16,2022-01-05,2022-01-05,2022-01-04,1,
FO6279057,PN 62991,2021-12-17,2022-01-06,2022-01-05,2022-01-05,15,
FO6279056,PN 62902,2021-12-17,2022-01-06,2022-01-05,2022-01-05,15,
FO6279055,PN 62927,2021-12-17,2022-01-05,2022-01-05,2022-01-05,1,
FO6279052,PN 63131,2021-12-17,2022-01-07,,2022-01-07,3,
FO6279059,PN 62573,2021-12-17,2022-01-07,2022-01-07,2022-01-07,1,
FO6279069,PN 60188,2021-12-17,2022-01-04,2022-01-04,2022-01-04,1,
FO6279067,PN 51689,2021-12-17,2022-01-05,2022-01-04,2022-01-04,1,
FO6279797,PN 69651,2021-12-17,2022-01-05,2022-01-05,2022-01-05,2,
FO6279792,PN 66431,2021-12-17,2022-01-06,2022-01-05,2022-01-05,2,
FO6279960,PN 63013,2021-12-17,2022-01-07,2022-01-07,2022-01-07,4,
FO6279969,PN 70349,2021-12-17,2022-01-07,2022-01-07,2022-01-07,5,
FO6279962,PN 69270,2021-12-17,2022-01-07,2022-01-05,2022-01-05,3,
FO6279796,PN 68749,2021-12-17,2022-01-05,2022-01-05,2022-01-05,3,
FO6279795,PN 65557,2021-12-17,2022-01-05,2022-01-05,2022-01-05,50,
FO6279990,PN 65787,2021-12-17,2022-01-05,2022-01-05,2022-01-05,50,
FO6279999,PN 65939,2021-12-17,2022-01-07,2022-01-05,2022-01-05,50,
FO6279979,PN 66462,2021-12-17,2022-01-05,2022-01-05,2022-01-05,50,
FO6279995,PN 67856,2021-12-17,2022-01-06,2022-01-05,2022-01-05,50,
FO6277907,PN 67669,2021-12-17,2022-01-05,2022-01-05,2022-01-05,50,
FO6277906,PN 66929,2021-12-17,2022-01-07,2022-01-05,2022-01-05,50,
FO6277905,PN 65517,2021-12-17,2022-01-07,2022-01-05,2022-01-05,50,
FO6277902,PN 66205,2021-12-17,2022-01-05,2022-01-05,2022-01-05,50,
FO6277909,PN 66874,2021-12-17,2022-01-06,2022-01-05,2022-01-05,50,
FO6277979,PN 63450,2021-12-17,2022-01-06,2022-01-06,2022-01-06,20,
FO6277996,PN 63450,2021-12-17,2022-01-06,2022-01-06,2022-01-06,20,
FO6277999,PN 57159,2021-12-17,2022-01-04,2022-01-04,2022-01-04,95,
FO6277926,PN 56185,2021-12-17,2022-01-05,2022-01-05,2022-01-05,14,
FO6277966,PN 61964,2021-12-17,2022-01-05,2022-01-05,2022-01-05,160,
FO6279570,PN 66476,2021-12-20,2022-01-05,2022-01-05,2022-01-05,2,
FO6279579,PN 66900,2021-12-20,2022-01-05,2022-01-05,2022-01-05,2,
FO6279566,PN 57638,2021-12-20,2022-01-05,2022-01-05,2022-01-05,1,
FO6279567,PN 60647,2021-12-20,2022-01-04,2022-01-04,2022-01-04,5,
FO6279569,PN 54589,2021-12-20,2022-01-06,2022-01-06,2022-01-06,2,
FO6279552,PN 53678,2021-12-20,2022-01-06,2022-01-05,2022-01-05,16,
FO6279555,PN 55299,2021-12-20,2022-01-06,2022-01-06,2022-01-06,16,
FO6279556,PN 56192,2021-12-20,2022-01-04,2022-01-04,2022-01-04,1,
FO6279560,PN 55624,2021-12-20,2022-01-05,2022-01-05,2022-01-05,18,
FO6279565,PN 57539,2021-12-20,2022-01-04,2022-01-04,2022-01-04,20,
FO6279572,PN 62170,2021-12-20,2022-01-05,2022-01-05,2022-01-05,4,
FO6279577,PN 62170,2021-12-20,2022-01-06,2022-01-06,2022-01-06,4,
FO6279520,PN 62637,2021-12-20,2022-01-07,2022-01-07,2022-01-07,1,
FO6279529,PN 62637,2021-12-20,2022-01-06,2022-01-06,2022-01-06,1,
FO6279522,PN 62637,2021-12-20,2022-01-07,2022-01-07,2022-01-07,1,
FO6279527,PN 62996,2021-12-20,2022-01-06,2022-01-06,2022-01-06,1,
FO6279595,PN 70281,2021-12-20,2022-01-07,2022-01-07,2022-01-07,1,
FO6279609,PN 68159,2021-12-20,2022-01-06,2022-01-06,2022-01-06,20,
FO6279690,PN 65402,2021-12-20,2022-01-06,2022-01-05,2022-01-05,20,
FO6279699,PN 64752,2021-12-20,2022-01-06,2022-01-05,2022-01-05,20,
FO6279679,PN 69341,2021-12-20,2022-01-07,2022-01-05,2022-01-05,20,
FO6279696,PN 65787,2021-12-20,2022-01-05,2022-01-05,2022-01-05,50,
FO6279620,PN 67603,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279622,PN 67055,2021-12-20,2022-01-05,2022-01-05,2022-01-05,50,
FO6279627,PN 64912,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279629,PN 67720,2021-12-20,2022-01-07,2022-01-05,2022-01-05,50,
FO6279670,PN 64216,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279672,PN 66511,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279643,PN 67297,2021-12-20,2022-01-05,2022-01-05,2022-01-05,50,
FO6279642,PN 67731,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279660,PN 65857,2021-12-20,2022-01-05,2022-01-05,2022-01-05,50,
FO6279669,PN 63850,2021-12-20,2022-01-06,2022-01-06,2022-01-06,50,
FO6279662,PN 64072,2021-12-20,2022-01-07,2022-01-05,2022-01-05,50,
FO6279667,PN 65641,2021-12-20,2022-01-07,2022-01-07,2022-01-07,50,
FO6279665,PN 68551,2021-12-20,2022-01-05,2022-01-05,2022-01-05,50,
FO6279666,PN 65488,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279650,PN 66462,2021-12-20,2022-01-06,2022-01-06,2022-01-06,50,
FO6279659,PN 67856,2021-12-20,2022-01-06,2022-01-05,2022-01-05,50,
FO6279652,PN 69750,2021-12-20,2022-01-05,2022-01-05,2022-01-06,50,
FO6279657,PN 66921,2021-12-20,2022-01-05,2022-01-05,2022-01-05,100,
FO6279695,PN 59315,2021-12-20,2022-01-05,2022-01-04,2022-01-04,96,
FO6277995,PN 61136,2021-12-20,2022-01-04,2022-01-04,2022-01-04,594,
FO6277929,PN 53504,2021-12-20,2022-01-05,2022-01-05,2022-01-05,4,
FO6277922,PN 52459,2021-12-20,2022-01-04,2022-01-04,2022-01-04,12,
FO6277970,PN 53101,2021-12-20,2022-01-04,2022-01-04,2022-01-04,12,
FO6277972,PN 52210,2021-12-20,2022-01-04,2022-01-04,2022-01-04,20,
FO6277920,PN 61205,2021-12-20,2022-01-05,2022-01-05,2022-01-05,400,
FO6277927,PN 61111,2021-12-20,2022-01-05,2022-01-05,2022-01-05,357,
FO6260009,PN 60710,2021-12-21,2022-01-05,2022-01-04,2022-01-04,1,
FO6260090,PN 57132,2021-12-21,2022-01-04,2022-01-04,2022-01-04,1,
FO6260099,PN 56353,2021-12-21,2022-01-06,2022-01-06,2022-01-07,92,
FO6260069,PN 62927,2021-12-21,2022-01-07,2022-01-07,2022-01-07,1,
FO6260059,PN 62318,2021-12-21,2022-01-07,2022-01-07,2022-01-07,1,
FO6260056,PN 62637,2021-12-21,2022-01-07,2022-01-07,2022-01-07,1,
FO6260029,PN 57268,2021-12-21,2022-01-06,2022-01-06,2022-01-06,6,
FO6260022,PN 69090,2021-12-21,2022-01-05,2022-01-05,2022-01-05,5,
FO6260079,PN 65364,2021-12-21,2022-01-07,2022-01-07,2022-01-07,15,
FO6260096,PN 64091,2021-12-21,2022-01-06,2022-01-05,2022-01-05,15,
FO6260900,PN 65948,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260902,PN 68900,2021-12-21,2022-01-05,2022-01-05,2022-01-05,50,
FO6260907,PN 64998,2021-12-21,2022-01-07,2022-01-05,2022-01-05,50,
FO6260905,PN 69340,2021-12-21,2022-01-05,2022-01-05,2022-01-05,50,
FO6260906,PN 67351,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260909,PN 66607,2021-12-21,2022-01-05,2022-01-05,2022-01-05,50,
FO6260990,PN 63695,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260999,PN 67904,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260979,PN 63970,2021-12-21,2022-01-06,2022-01-06,2022-01-06,50,
FO6260996,PN 67528,2021-12-21,2022-01-05,2022-01-05,2022-01-05,50,
FO6260995,PN 63510,2021-12-21,2022-01-06,2022-01-06,2022-01-06,24,
FO6260960,PN 66874,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260969,PN 66874,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260966,PN 69532,2021-12-21,2022-01-07,2022-01-07,2022-01-07,50,
FO6260967,PN 67720,2021-12-21,2022-01-11,2022-01-07,2022-01-07,50,
FO6260962,PN 64216,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260950,PN 66511,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260952,PN 64916,2021-12-21,2022-01-05,2022-01-05,2022-01-05,50,
FO6260957,PN 67603,2021-12-21,2022-01-06,2022-01-05,2022-01-05,50,
FO6260959,PN 67720,2021-12-21,2022-01-07,2022-01-05,2022-01-05,50,
FO6260790,PN 51722,2021-12-21,2022-01-05,2022-01-05,2022-01-05,96,
FO6260799,PN 51722,2021-12-21,2022-01-04,2022-01-04,2022-01-04,96,
FO6260792,PN 51722,2021-12-21,2022-01-04,2022-01-04,2022-01-05,95,
FO6260797,PN 57099,2021-12-21,2022-01-10,2022-01-07,2022-01-07,8,
FO6260795,PN 58898,2021-12-21,2022-01-06,2022-01-06,2022-01-06,32,
FO6260220,PN 59489,2021-12-21,2022-01-06,2022-01-06,2022-01-06,96,
FO6260229,PN 54798,2021-12-21,2022-01-04,2022-01-04,2022-01-04,1,
FO6260222,PN 54798,2021-12-21,2022-01-04,2022-01-04,2022-01-04,1,
FO6260227,PN 59194,2021-12-21,2022-01-05,2022-01-05,2022-01-05,1,
FO6260277,PN 61415,2021-12-21,2022-01-07,2022-01-07,2022-01-07,31,
FO6260242,PN 61377,2021-12-21,2022-01-07,2022-01-07,2022-01-07,597,
FO6260243,PN 61205,2021-12-21,2022-01-05,2022-01-05,2022-01-05,398,
FO6260606,PN 51982,2021-12-22,2022-01-07,2022-01-07,2022-01-07,1,
FO6260605,PN 60118,2021-12-22,2022-01-06,2022-01-06,2022-01-06,1,
FO6260607,PN 59453,2021-12-22,2022-01-05,2022-01-05,2022-01-05,1,
FO6260602,PN 60527,2021-12-22,2022-01-05,2022-01-05,2022-01-05,1,
FO6260609,PN 59504,2021-12-22,2022-01-06,2022-01-06,2022-01-06,2,
FO6260699,PN 58692,2021-12-22,2022-01-06,2022-01-06,2022-01-07,1,
FO6260679,PN 53172,2021-12-22,2022-01-05,2022-01-05,2022-01-05,3,
FO6260696,PN 51432,2021-12-22,2022-01-06,2022-01-05,2022-01-05,3,
FO6260695,PN 51987,2021-12-22,2022-01-04,2022-01-04,2022-01-04,3,
FO6260627,PN 69415,2021-12-22,2022-01-07,2022-01-05,2022-01-05,5,
FO6260626,PN 65620,2021-12-22,2022-01-05,2022-01-05,2022-01-05,5,
FO6260670,PN 68648,2021-12-22,2022-01-07,2022-01-05,2022-01-05,10,
FO6260660,PN 53881,2021-12-22,2022-01-05,2022-01-05,2022-01-05,40,
FO6260669,PN 56786,2021-12-22,2022-01-05,2022-01-05,2022-01-06,30,
FO6260662,PN 54485,2021-12-22,2022-01-06,2022-01-06,2022-01-06,5,
FO6260667,PN 54957,2021-12-22,2022-01-05,2022-01-05,2022-01-05,10,
FO6260666,PN 58354,2021-12-22,2022-01-07,2022-01-07,2022-01-07,15,
FO6260665,PN 56277,2021-12-22,2022-01-06,2022-01-06,2022-01-06,4,
FO6260659,PN 53222,2021-12-22,2022-01-06,2022-01-06,2022-01-06,10,
FO6260672,PN 62274,2021-12-22,2022-01-07,2022-01-07,2022-01-07,15,
FO6260500,PN 65668,2021-12-22,2022-01-05,2022-01-05,2022-01-05,3,
FO6260507,PN 65534,2021-12-22,2022-01-06,2022-01-06,2022-01-06,5,
FO6260506,PN 67381,2021-12-22,2022-01-05,2022-01-05,2022-01-05,5,
FO6260505,PN 63450,2021-12-22,2022-01-07,2022-01-07,2022-01-07,20,
FO6260590,PN 62137,2021-12-22,2022-01-07,2022-01-07,2022-01-07,407,
FO6260595,PN 64127,2021-12-22,2022-01-06,2022-01-06,2022-01-06,20,
FO6260596,PN 65711,2021-12-22,2022-01-06,2022-01-05,2022-01-05,20,
FO6260579,PN 66335,2021-12-22,2022-01-06,2022-01-05,2022-01-05,20,
FO6260599,PN 64645,2021-12-22,2022-01-06,2022-01-05,2022-01-05,20,
FO6260529,PN 67297,2021-12-22,2022-01-07,2022-01-07,2022-01-07,50,
FO6260522,PN 67731,2021-12-22,2022-01-06,2022-01-05,2022-01-05,50,
FO6260526,PN 67055,2021-12-22,2022-01-07,2022-01-07,2022-01-07,50,
FO6260525,PN 64912,2021-12-22,2022-01-06,2022-01-05,2022-01-05,50,
FO6260527,PN 67377,2021-12-22,2022-01-05,2022-01-05,2022-01-05,50,
FO6260570,PN 66205,2021-12-22,2022-01-05,2022-01-05,2022-01-05,50,
FO6260572,PN 66874,2021-12-22,2022-01-06,2022-01-05,2022-01-05,50,
FO6260577,PN 66205,2021-12-22,2022-01-05,2022-01-05,2022-01-05,50,
FO6260542,PN 67603,2021-12-22,2022-01-06,2022-01-05,2022-01-05,50,
FO6260543,PN 64916,2021-12-22,2022-01-06,2022-01-06,2022-01-06,50,
FO6260567,PN 66696,2021-12-22,2022-01-05,2022-01-05,2022-01-05,50,
FO6260566,PN 66374,2021-12-22,2022-01-05,2022-01-05,2022-01-05,50,
FO6260562,PN 64856,2021-12-22,2022-01-05,2022-01-05,2022-01-05,100,
FO6260569,PN 64856,2021-12-22,2022-01-05,2022-01-05,2022-01-05,100,
FO6260565,PN 57128,2021-12-22,2022-01-05,2022-01-05,2022-01-05,10,
FO6260729,PN 69035,2021-12-23,2022-01-05,2022-01-05,2022-01-05,1,
FO6260770,PN 65810,2021-12-23,2022-01-05,2022-01-05,2022-01-05,1,
FO6260743,PN 64031,2021-12-23,2022-01-05,2022-01-05,2022-01-05,20,
FO6260777,PN 64221,2021-12-23,2022-01-07,2022-01-05,2022-01-05,20,
FO6260779,PN 68558,2021-12-23,2022-01-05,2022-01-05,2022-01-05,10,
FO6260722,PN 65455,2021-12-23,2022-01-05,2022-01-05,2022-01-05,5,
FO6260726,PN 66071,2021-12-23,2022-01-05,2022-01-05,2022-01-05,50,
FO6260727,PN 64155,2021-12-23,2022-01-06,2022-01-05,2022-01-05,50,
FO6262579,PN 54571,2022-01-04,2022-01-07,2022-01-07,2022-01-07,1,
FO6262595,PN 51989,2022-01-04,2022-01-06,2022-01-06,2022-01-06,1,
FO6262660,PN 59322,2022-01-04,2022-01-07,2022-01-07,2022-01-07,2,
FO6262662,PN 56410,2022-01-04,2022-01-07,2022-01-07,2022-01-07,1,
FO6262666,PN 56002,2022-01-04,2022-01-07,2022-01-07,2022-01-07,1,
FO6262679,PN 51987,2022-01-04,2022-01-06,2022-01-06,2022-01-07,2,
FO6262672,PN 59032,2022-01-04,2022-01-07,2022-01-07,2022-01-07,2,
FO6262677,PN 53579,2022-01-04,2022-01-06,2022-01-06,2022-01-06,6,
FO6262629,PN 59788,2022-01-04,2022-01-10,2022-01-07,2022-01-07,1,
FO6262627,PN 56481,2022-01-04,2022-01-06,2022-01-06,2022-01-06,2,
FO6262626,PN 59806,2022-01-04,2022-01-06,2022-01-06,2022-01-06,4,
FO6262622,PN 54463,2022-01-04,2022-01-07,2022-01-07,2022-01-07,2,
FO6262699,PN 52349,2022-01-04,2022-01-06,2022-01-06,2022-01-06,3,
FO6262696,PN 58280,2022-01-04,2022-01-06,2022-01-06,2022-01-06,20,
FO6262436,PN 67583,2022-01-04,2022-01-06,2022-01-06,2022-01-06,1,
FO6262435,PN 69605,2022-01-04,2022-01-07,2022-01-05,2022-01-05,1,
FO6262439,PN 65402,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262420,PN 65766,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262429,PN 69364,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262422,PN 67078,2022-01-04,2022-01-07,2022-01-05,2022-01-05,1,
FO6262427,PN 69474,2022-01-04,2022-01-07,2022-01-05,2022-01-05,1,
FO6262426,PN 65396,2022-01-04,2022-01-07,2022-01-05,2022-01-05,1,
FO6262432,PN 57927,2022-01-04,2022-01-07,2022-01-07,2022-01-07,5,
FO6262437,PN 60347,2022-01-04,2022-01-06,2022-01-06,2022-01-06,15,
FO6262770,PN 55415,2022-01-04,2022-01-06,2022-01-06,2022-01-07,25,
FO6262772,PN 55174,2022-01-04,2022-01-07,2022-01-07,2022-01-07,12,
FO6262743,PN 52457,2022-01-04,2022-01-06,2022-01-06,2022-01-06,16,
FO6262729,PN 69667,2022-01-04,2022-01-05,2022-01-05,2022-01-05,1,
FO6262722,PN 64553,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262725,PN 68112,2022-01-04,2022-01-05,2022-01-05,2022-01-05,1,
FO6262726,PN 66979,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262727,PN 69161,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262799,PN 66619,2022-01-04,2022-01-05,2022-01-05,2022-01-05,2,
FO6262779,PN 67853,2022-01-04,2022-01-06,2022-01-05,2022-01-05,2,
FO6262796,PN 65224,2022-01-04,2022-01-05,2022-01-05,2022-01-05,1,
FO6262795,PN 64535,2022-01-04,2022-01-06,2022-01-05,2022-01-05,1,
FO6262200,PN 66073,2022-01-04,2022-01-05,2022-01-05,2022-01-05,50,
FO6262209,PN 65238,2022-01-04,2022-01-05,2022-01-05,2022-01-05,50,
FO6262202,PN 64817,2022-01-04,2022-01-05,2022-01-05,2022-01-05,50,
FO6262207,PN 65723,2022-01-04,2022-01-06,2022-01-06,2022-01-06,50,
FO6262206,PN 68059,2022-01-04,2022-01-07,2022-01-05,2022-01-05,2,
FO6262205,PN 64837,2022-01-04,2022-01-06,2022-01-06,2022-01-06,2,
FO6262299,PN 69242,2022-01-04,2022-01-07,2022-01-05,2022-01-05,20,
FO6262279,PN 63863,2022-01-04,2022-01-06,2022-01-05,2022-01-05,20,
FO6262296,PN 65950,2022-01-04,2022-01-07,2022-01-05,2022-01-05,3,
FO6262295,PN 66728,2022-01-04,2022-01-06,2022-01-05,2022-01-05,3,
FO6262222,PN 65393,2022-01-04,2022-01-06,2022-01-06,2022-01-06,10,
FO6262227,PN 68862,2022-01-04,2022-01-06,2022-01-05,2022-01-05,10,
FO6262229,PN 69161,2022-01-04,2022-01-06,2022-01-05,2022-01-05,10,
FO6262272,PN 69109,2022-01-04,2022-01-07,2022-01-07,2022-01-07,15,
FO6262277,PN 66854,2022-01-04,2022-01-05,2022-01-05,2022-01-05,15,
FO6262243,PN 65775,2022-01-04,2022-01-05,2022-01-05,2022-01-05,15,
FO6262242,PN 65826,2022-01-04,2022-01-06,2022-01-06,2022-01-06,10,
FO6262262,PN 65518,2022-01-04,2022-01-06,2022-01-05,2022-01-05,50,
FO6262266,PN 68278,2022-01-04,2022-01-06,2022-01-06,2022-01-06,25,
FO6262265,PN 65477,2022-01-04,2022-01-06,2022-01-05,2022-01-05,25,
FO6262220,PN 64071,2022-01-04,2022-01-07,2022-01-05,2022-01-05,5,
FO6262902,PN 55265,2022-01-04,2022-01-06,2022-01-06,2022-01-06,96,
FO6262797,PN 67157,2022-01-05,2022-01-05,2022-01-05,2022-01-05,5,
FO6262792,PN 68656,2022-01-05,2022-01-06,2022-01-06,2022-01-06,5,
FO6267795,PN 56788,2022-01-05,2022-01-07,2022-01-07,2022-01-07,1,
FO6267796,PN 53172,2022-01-05,2022-01-06,2022-01-06,2022-01-06,4,
FO6267200,PN 64534,2022-01-05,2022-01-06,2022-01-06,2022-01-06,20,
FO6267202,PN 69035,2022-01-05,2022-01-06,2022-01-06,2022-01-06,5,
FO6267207,PN 65810,2022-01-05,2022-01-07,2022-01-07,2022-01-07,5,
FO6267206,PN 68629,2022-01-05,2022-01-10,2022-01-06,2022-01-06,5,
FO6267209,PN 65754,2022-01-05,2022-01-07,2022-01-07,2022-01-07,2,
FO6267279,PN 67731,2022-01-05,2022-01-07,2022-01-06,2022-01-06,50,
FO6267296,PN 65939,2022-01-05,2022-01-10,2022-01-06,2022-01-06,50,
FO6267299,PN 65889,2022-01-05,2022-01-07,2022-01-06,2022-01-06,50,
FO6267222,PN 64998,2022-01-05,2022-01-10,2022-01-06,2022-01-06,50,
