Part,ProcType,Business Area,Production Area,Planner,Buyer,Work Centre,Box Qty,SLoc,ABC *, Std Cost , Std HRS 
PN 63698,Buy,BA 002,PROD 2003,,BYR 004,,,SL006,, 19.95 ,
PN 69765,Buy,BA 002,PROD 2004,,BYR 005,,,SL008,, 19.95 ,
PN 50003,Buy,BA 003,PROD 3002,,BYR 006,,,SL008,, 19.95 ,
PN 60724,Make,BA 001,PROD 1002,MRP 008,,WC041,,SL009,A+, 19.95 , 4.319 
PN 62170,Make,BA 002,PROD 2001,MRP 009,,WC009,,SL006,, 19.95 , 11.327 
PN 63699,Make,BA 002,PROD 2003,MRP 004,,WC003,,SL009,, 19.95 , 11.876 
PN 51428,Buy,BA 001,PROD 1001,,BYR 001,,,SL006,, 19.94 ,
PN 51431,Buy,BA 001,PROD 1001,,BYR 009,,,SL008,, 19.94 ,
PN 61093,Buy,BA 001,PROD 1003,,BYR 009,,,SL008,, 19.94 ,
PN 61092,Make,BA 001,PROD 1003,MRP 003,,WC039,100,SL009,C, 19.94 , 17.437 
PN 51430,Make,BA 001,PROD 1001,MRP 004,,WC034,,SL009,C, 19.94 , 19.624 
PN 51429,Make,BA 001,PROD 1001,MRP 001,,WC018,,SL009,C, 19.94 , 9.526 
PN 63702,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 19.94 , 12.600 
PN 63700,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 19.94 , 4.809 
PN 63701,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 19.94 , 14.039 
PN 60725,Buy,BA 001,PROD 1002,,BYR 007,,,SL008,, 19.93 ,
PN 63383,Buy,BA 002,PROD 2002,,BYR 009,,,SL008,, 19.93 ,
PN 63705,Buy,BA 002,PROD 2003,,BYR 008,,,SL006,, 19.93 ,
PN 50004,Buy,BA 003,PROD 3002,,BYR 009,,,SL008,, 19.93 ,
PN 61094,Make,BA 001,PROD 1003,MRP 001,,WC039,50,SL009,A, 19.93 , 3.150 
PN 51433,Make,BA 001,PROD 1001,MRP 002,,WC035,,SL009,C, 19.93 , 4.394 
PN 51432,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,C, 19.93 , 16.488 
PN 63704,Make,BA 002,PROD 2003,MRP 003,,WC004,,SL006,, 19.93 , 19.234 
PN 63703,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 19.93 , 1.191 
PN 61095,Buy,BA 001,PROD 1003,,BYR 008,,,SL008,, 19.92 ,
PN 61096,Buy,BA 001,PROD 1003,,BYR 002,,,SL008,, 19.92 ,
PN 63709,Buy,BA 002,PROD 2003,,BYR 006,,,SL006,, 19.92 ,
PN 69766,Buy,BA 002,PROD 2004,,BYR 003,,,SL006,, 19.92 ,
PN 51441,Make,BA 001,PROD 1001,MRP 002,,WC034,,SL009,, 19.92 , 2.038 
PN 51440,Make,BA 001,PROD 1001,MRP 008,,WC018,,SL009,C, 19.92 , 16.986 
PN 51439,Make,BA 001,PROD 1001,MRP 007,,WC015,,SL009,C, 19.92 , 15.839 
PN 51437,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,B, 19.92 , 15.324 
PN 63706,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 19.92 , 1.440 
PN 63708,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 19.92 , 11.149 
PN 51448,Buy,BA 001,PROD 1001,,BYR 009,,,SL006,, 19.91 ,
PN 51449,Buy,BA 001,PROD 1001,,BYR 001,,,SL009,, 19.91 ,
PN 51443,Make,BA 001,PROD 1001,MRP 006,,WC018,,SL009,C, 19.91 , 18.780 
PN 51445,Make,BA 001,PROD 1001,MRP 003,,WC015,,SL009,C, 19.91 , 10.119 
PN 51444,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 19.91 , 9.178 
PN 63711,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 19.91 , 7.280 
PN 63710,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 19.91 , 9.430 
PN 63713,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 19.91 , 15.520 
PN 51456,Buy,BA 001,PROD 1001,,BYR 006,,,SL008,, 19.90 ,
PN 62173,Buy,BA 002,PROD 2001,,BYR 002,,,SL006,, 19.90 ,
PN 50005,Buy,BA 003,PROD 3002,,BYR 004,,,SL006,, 19.90 ,
PN 51451,Make,BA 001,PROD 1001,MRP 004,,WC026,,SL009,B, 19.90 , 0.020 
PN 51455,Make,BA 001,PROD 1001,MRP 003,,WC021,,SL009,B, 19.90 , 7.224 
PN 51450,Make,BA 001,PROD 1001,MRP 006,,WC018,,SL009,C, 19.90 , 5.371 
PN 51457,Make,BA 001,PROD 1001,MRP 004,,WC014,,SL009,A, 19.90 , 17.580 
PN 51452,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 19.90 , 9.425 
PN 51454,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 19.90 , 9.309 
PN 50006,Buy,BA 003,PROD 3002,,BYR 007,,,SL008,, 19.89 ,
PN 51458,Make,BA 001,PROD 1001,MRP 006,,WC015,,SL009,C, 19.89 , 0.375 
PN 63714,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 19.89 , 14.521 
PN 63715,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 19.89 , 16.352 
PN 63716,Make,BA 002,PROD 2003,MRP 001,,WC002,,SL006,, 19.89 , 10.595 
PN 51460,Buy,BA 001,PROD 1001,,BYR 006,,,SL006,, 19.88 ,
PN 51463,Buy,BA 001,PROD 1001,,BYR 001,,,SL006,, 19.88 ,
PN 63717,Buy,BA 002,PROD 2003,,BYR 005,,,SL006,, 19.88 ,
PN 50007,Buy,BA 003,PROD 3002,,BYR 008,,,SL008,, 19.88 ,
PN 61097,Make,BA 001,PROD 1003,MRP 001,,WC039,,SL009,C, 19.88 , 6.628 
PN 51461,Make,BA 001,PROD 1001,MRP 003,,WC019,,SL009,C, 19.88 , 18.955 
PN 51462,Make,BA 001,PROD 1001,MRP 002,,WC015,,SL009,C, 19.88 , 8.882 
PN 51466,Make,BA 001,PROD 1001,MRP 006,,WC013,,SL009,C, 19.88 , 0.805 
PN 63718,Make,BA 002,PROD 2003,MRP 001,,WC004,,SL006,, 19.88 , 15.126 
PN 63719,Make,BA 002,PROD 2003,MRP 003,,WC004,,SL006,, 19.88 , 6.381 
PN 51469,Buy,BA 001,PROD 1001,,BYR 001,,,SL006,, 19.87 ,
PN 51470,Buy,BA 001,PROD 1001,,BYR 005,,,SL008,, 19.87 ,
PN 63720,Buy,BA 002,PROD 2003,,BYR 005,,,SL008,, 19.87 ,
PN 69767,Buy,BA 002,PROD 2004,,BYR 002,,,SL008,, 19.87 ,
PN 70583,Buy,,,,BYR 001,,,,, 19.87 ,
PN 51468,Make,BA 001,PROD 1001,MRP 004,,WC015,,SL009,C, 19.87 , 8.444 
PN 51467,Make,BA 001,PROD 1001,MRP 006,,WC013,,SL009,C, 19.87 , 10.257 
PN 63721,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 19.87 , 2.631 
PN 63722,Make,BA 002,PROD 2003,MRP 001,,WC002,,SL006,, 19.87 , 19.482 
PN 63723,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 19.87 , 9.445 
PN 60726,Make,BA 001,PROD 1002,MRP 008,,WC041,,SL008,, 19.86 , 4.453 
PN 61098,Make,BA 001,PROD 1003,MRP 006,,WC039,20,SL009,A, 19.86 , 12.405 
PN 51471,Make,BA 001,PROD 1001,MRP 001,,WC023,,SL009,C, 19.86 , 8.246 
PN 51472,Make,BA 001,PROD 1001,MRP 002,,WC013,,SL009,B, 19.86 , 0.503 
PN 51473,Make,BA 001,PROD 1001,MRP 006,,WC013,,SL009,C, 19.86 , 7.781 
PN 63724,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 19.86 , 10.382 
PN 63725,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 19.86 , 6.277 
PN 63726,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 19.86 , 1.286 
PN 51481,Buy,BA 001,PROD 1001,,BYR 003,,,SL008,, 19.85 ,
PN 51482,Buy,BA 001,PROD 1001,,BYR 007,,,SL006,, 19.85 ,
PN 69768,Buy,BA 002,PROD 2004,,BYR 008,,,SL006,, 19.85 ,
PN 51256,Buy,BA 003,PROD 3001,,BYR 009,,,SL008,, 19.85 ,
PN 51477,Make,BA 001,PROD 1001,MRP 007,,WC018,,SL009,C, 19.85 , 16.306 
PN 51479,Make,BA 001,PROD 1001,MRP 001,,WC015,,SL009,C, 19.85 , 16.065 
PN 51474,Make,BA 001,PROD 1001,MRP 001,,WC013,,SL009,C, 19.85 , 2.565 
PN 51476,Make,BA 001,PROD 1001,MRP 009,,WC013,,SL009,C, 19.85 , 18.903 
PN 51478,Make,BA 001,PROD 1001,MRP 008,,WC013,,SL009,B, 19.85 , 4.691 
PN 63727,Make,BA 002,PROD 2003,MRP 001,,WC002,,SL006,, 19.85 , 11.751 
PN 63728,Make,BA 002,PROD 2003,MRP 006,,WC002,,SL006,, 19.85 , 19.145 
PN 63729,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 19.85 , 14.045 
PN 61099,Buy,BA 001,PROD 1003,,BYR 007,,,SL006,, 19.84 ,
PN 62174,Buy,BA 002,PROD 2001,,BYR 002,,,SL006,, 19.84 ,
PN 62175,Buy,BA 002,PROD 2001,,BYR 005,,,SL006,, 19.84 ,
PN 50009,Buy,BA 003,PROD 3002,,BYR 002,,,,, 19.84 ,
PN 51483,Make,BA 001,PROD 1001,MRP 005,,WC018,,SL009,C, 19.84 , 8.858 
PN 51484,Make,BA 001,PROD 1001,MRP 003,,WC018,,SL009,C, 19.84 , 9.076 
PN 63732,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 19.84 , 9.416 
PN 63730,Make,BA 002,PROD 2003,MRP 004,,WC002,,SL006,, 19.84 , 18.606 
PN 50010,Buy,BA 003,PROD 3002,,BYR 002,,,SL008,, 19.83 ,
PN 61100,Make,BA 001,PROD 1003,MRP 006,,WC039,10,SL009,C, 19.83 , 1.916 
PN 63738,Make,BA 002,PROD 2003,MRP 006,,WC004,,SL006,, 19.83 , 3.399 
PN 63737,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 19.83 , 17.723 
PN 63733,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 19.83 , 5.844 
PN 63734,Make,BA 002,PROD 2003,MRP 006,,WC002,,SL006,, 19.83 , 1.017 
PN 63735,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 19.83 , 2.237 
PN 63736,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 19.83 , 16.823 
PN 61101,Buy,BA 001,PROD 1003,,BYR 008,,,SL006,, 19.82 ,
PN 61102,Buy,BA 001,PROD 1003,,BYR 008,,,SL008,, 19.82 ,
PN 61103,Buy,BA 001,PROD 1003,,BYR 001,,,SL006,, 19.82 ,
PN 62176,Buy,BA 002,PROD 2001,,BYR 006,,,SL006,, 19.82 ,
PN 50011,Buy,BA 003,PROD 3002,,BYR 006,,,SL008,, 19.82 ,
PN 51490,Make,BA 001,PROD 1001,MRP 005,,WC026,,SL009,C, 19.82 , 19.380 
PN 51493,Make,BA 001,PROD 1001,MRP 008,,WC015,,SL009,C, 19.82 , 4.211 
PN 51494,Make,BA 001,PROD 1001,MRP 007,,WC015,,SL009,C, 19.82 , 17.055 
PN 51492,Make,BA 001,PROD 1001,MRP 003,,WC013,,SL009,C, 19.82 , 16.587 
PN 63743,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 19.82 , 18.404 
PN 63744,Make,BA 002,PROD 2003,MRP 009,,WC004,,SL006,, 19.82 , 16.124 
PN 63741,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 19.82 , 12.549 
PN 63740,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 19.82 , 5.403 
PN 62177,Buy,BA 002,PROD 2001,,BYR 001,,,SL006,, 19.81 ,
PN 63745,Buy,BA 002,PROD 2003,,BYR 003,,,SL008,, 19.81 ,
PN 51498,Make,BA 001,PROD 1001,MRP 001,,WC015,,SL009,C, 19.81 , 11.843 
PN 51497,Make,BA 001,PROD 1001,MRP 009,,WC013,,SL009,C, 19.81 , 10.537 
PN 63746,Make,BA 002,PROD 2003,MRP 004,,WC002,,SL006,, 19.81 , 13.105 
PN 60727,Buy,BA 001,PROD 1002,,BYR 001,,,SL008,, 19.80 ,
PN 62178,Buy,BA 002,PROD 2001,,BYR 004,,,SL006,, 19.80 ,
PN 50012,Buy,BA 003,PROD 3002,,BYR 001,,,SL008,, 19.80 ,
PN 50013,Buy,BA 003,PROD 3002,,BYR 001,,,SL008,, 19.80 ,
PN 70585,Buy,,,,BYR 003,,,,, 19.80 ,
PN 61104,Make,BA 001,PROD 1003,MRP 001,,WC039,500,SL009,C, 19.80 , 10.280 
PN 61105,Make,BA 001,PROD 1003,MRP 001,,WC039,1000,SL009,C, 19.80 , 18.238 
PN 61106,Make,BA 001,PROD 1003,MRP 009,,WC039,50,SL009,C, 19.80 , 15.752 
PN 61107,Make,BA 001,PROD 1003,MRP 006,,WC039,30,SL009,A, 19.80 , 11.156 
PN 51502,Make,BA 001,PROD 1001,MRP 007,,WC034,,SL006,, 19.80 , 16.372 
PN 51500,Make,BA 001,PROD 1001,MRP 008,,WC021,,SL009,A, 19.80 , 2.918 
PN 63748,Make,BA 002,PROD 2003,MRP 005,,WC004,,SL006,, 19.80 , 14.448 
PN 63747,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 19.80 , 16.811 
PN 51505,Buy,BA 001,PROD 1001,,BYR 008,,,SL008,, 19.79 ,
PN 62179,Buy,BA 002,PROD 2001,,BYR 007,,,SL008,, 19.79 ,
PN 50014,Buy,BA 003,PROD 3002,,BYR 007,,,SL006,, 19.79 ,
PN 51504,Make,BA 001,PROD 1001,MRP 006,,WC034,,SL006,, 19.79 , 17.738 
PN 51503,Make,BA 001,PROD 1001,MRP 007,,WC018,,SL009,C, 19.79 , 11.712 
PN 63752,Make,BA 002,PROD 2003,MRP 003,,WC003,,SL009,, 19.79 , 14.511 
PN 63749,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 19.79 , 13.383 
PN 63750,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 19.79 , 4.108 
PN 63751,Make,BA 002,PROD 2003,MRP 005,,WC002,,SL006,, 19.79 , 7.320 
PN 51506,Buy,BA 001,PROD 1001,,BYR 009,,,SL009,, 19.78 ,
PN 51513,Buy,BA 001,PROD 1001,,BYR 007,,,SL008,, 19.78 ,
PN 51514,Buy,BA 001,PROD 1001,,BYR 006,,,SL008,, 19.78 ,
PN 62180,Buy,BA 002,PROD 2001,,BYR 001,,,SL008,, 19.78 ,
PN 62181,Buy,BA 002,PROD 2001,,BYR 007,,,SL008,, 19.78 ,
PN 63753,Buy,BA 002,PROD 2003,,BYR 005,,,SL008,, 19.78 ,
PN 69769,Buy,BA 002,PROD 2004,,BYR 005,,,SL006,, 19.78 ,
PN 51257,Buy,BA 003,PROD 3001,,BYR 007,,,SL006,, 19.78 ,
PN 51510,Make,BA 001,PROD 1001,MRP 006,,WC027,,SL009,NPI, 19.78 , 18.591 
PN 51511,Make,BA 001,PROD 1001,MRP 006,,WC027,,SL009,NPI, 19.78 , 4.373 
PN 51509,Make,BA 001,PROD 1001,MRP 006,,WC018,,SL009,C, 19.78 , 13.897 
PN 51507,Make,BA 001,PROD 1001,MRP 001,,WC013,,SL009,C, 19.78 , 3.284 
PN 51508,Make,BA 001,PROD 1001,MRP 005,,WC013,,SL009,C, 19.78 , 4.596 
PN 63754,Buy,BA 002,PROD 2003,,BYR 009,,,SL006,, 19.77 ,
PN 69770,Buy,BA 002,PROD 2004,,BYR 008,,,SL008,, 19.77 ,
PN 70586,Buy,,,,BYR 008,,,,, 19.77 ,
PN 70588,Buy,,,,BYR 006,,,,, 19.77 ,
PN 63755,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL006,, 19.77 , 11.273 
PN 61108,Buy,BA 001,PROD 1003,,BYR 001,,,SL006,, 19.76 ,
PN 62182,Buy,BA 002,PROD 2001,,BYR 004,,,SL006,, 19.76 ,
PN 63757,Buy,BA 002,PROD 2003,,BYR 008,,,SL006,, 19.76 ,
PN 51258,Buy,BA 003,PROD 3001,,BYR 001,,,SL008,, 19.76 ,
PN 50015,Buy,BA 003,PROD 3002,,BYR 009,,,,, 19.76 ,
PN 51517,Make,BA 001,PROD 1001,MRP 002,,WC014,,SL009,A, 19.76 , 17.974 
PN 63756,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 19.76 , 15.504 
PN 51520,Buy,BA 001,PROD 1001,,BYR 006,,,SL006,, 19.75 ,
PN 62183,Buy,BA 002,PROD 2001,,BYR 002,,,SL008,, 19.75 ,
PN 63758,Buy,BA 002,PROD 2003,,BYR 007,,,SL006,, 19.75 ,
PN 63759,Buy,BA 002,PROD 2003,,BYR 009,,,SL006,, 19.75 ,
PN 50016,Buy,BA 003,PROD 3002,,BYR 009,,,SL006,, 19.75 ,
PN 60728,Make,BA 001,PROD 1002,MRP 009,,WC041,,SL008,, 19.75 , 8.585 
PN 51518,Make,BA 001,PROD 1001,MRP 002,,WC018,,SL009,C, 19.75 , 10.120 
PN 63764,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 19.75 , 14.016 
PN 63760,Make,BA 002,PROD 2003,MRP 007,,WC003,,SL009,, 19.75 , 7.101 
PN 63761,Make,BA 002,PROD 2003,MRP 008,,WC003,,SL009,, 19.75 , 3.124 
PN 63762,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 19.75 , 9.187 
PN 63763,Make,BA 002,PROD 2003,MRP 003,,WC002,,SL006,, 19.75 , 13.854 
PN 61109,Make,BA 001,PROD 1003,MRP 003,,WC039,,SL009,, 19.74 , 6.035 
PN 61110,Make,BA 001,PROD 1003,MRP 004,,WC039,30,SL009,A, 19.74 , 16.277 
PN 51521,Make,BA 001,PROD 1001,MRP 008,,WC015,,SL009,C, 19.74 , 2.911 
PN 51523,Make,BA 001,PROD 1001,MRP 001,,WC015,,SL009,C, 19.74 , 11.366 
PN 51522,Make,BA 001,PROD 1001,MRP 005,,WC014,,SL009,B, 19.74 , 8.613 
PN 63765,Make,BA 002,PROD 2003,MRP 006,,WC003,,SL009,, 19.74 , 12.373 
PN 63766,Make,BA 002,PROD 2003,MRP 004,,WC003,,SL009,, 19.74 , 9.778 
PN 51527,Buy,BA 001,PROD 1001,,BYR 009,,,SL006,, 19.73 ,
PN 62184,Buy,BA 002,PROD 2001,,BYR 003,,,SL008,, 19.73 ,
PN 50017,Buy,BA 003,PROD 3002,,BYR 003,,,SL006,, 19.73 ,
PN 61111,Make,BA 001,PROD 1003,MRP 003,,WC039,100,SL009,A+, 19.73 , 1.107 
PN 51525,Make,BA 001,PROD 1001,MRP 004,,WC018,,SL009,C, 19.73 , 18.641 
PN 51528,Make,BA 001,PROD 1001,MRP 002,,WC013,,SL009,, 19.73 , 17.625 
PN 63771,Make,BA 002,PROD 2003,MRP 002,,WC004,,SL006,, 19.73 , 9.599 
PN 63769,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 19.73 , 13.162 
PN 63770,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 19.73 , 6.533 
PN 63767,Make,BA 002,PROD 2003,MRP 001,,WC002,,SL006,, 19.73 , 7.274 
PN 63768,Make,BA 002,PROD 2003,MRP 009,,WC002,,SL006,, 19.73 , 7.548 
PN 61112,Buy,BA 001,PROD 1003,,BYR 003,,,SL006,, 19.72 ,
PN 62185,Buy,BA 002,PROD 2001,,BYR 002,,,SL006,, 19.72 ,
PN 51531,Make,BA 001,PROD 1001,MRP 005,,WC040,,,, 19.72 , 4.437 
PN 51530,Make,BA 001,PROD 1001,MRP 006,,WC034,,SL009,C, 19.72 , 9.725 
PN 51529,Make,BA 001,PROD 1001,MRP 003,,WC018,,SL009,C, 19.72 , 1.189 
PN 63773,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 19.72 , 6.856 
PN 63772,Make,BA 002,PROD 2003,MRP 002,,WC002,,SL006,, 19.72 , 0.368 
PN 63777,Buy,BA 002,PROD 2003,,BYR 002,,,SL006,, 19.71 ,
PN 60729,Make,BA 001,PROD 1002,MRP 007,,WC041,,SL006,B, 19.71 , 18.693 
PN 51533,Make,BA 001,PROD 1001,MRP 006,,WC037,,SL006,, 19.71 , 0.921 
PN 63774,Make,BA 002,PROD 2003,MRP 005,,WC003,,SL009,, 19.71 , 10.078 
PN 63776,Make,BA 002,PROD 2003,MRP 001,,WC003,,SL009,, 19.71 , 4.482 
PN 51536,Buy,BA 001,PROD 1001,,BYR 002,,,SL006,, 19.70 ,
PN 51537,Buy,BA 001,PROD 1001,,BYR 001,,,SL006,, 19.70 ,
PN 51534,Make,BA 001,PROD 1001,MRP 008,,WC015,,SL009,C, 19.70 , 6.864 
PN 51535,Make,BA 001,PROD 1001,MRP 009,,WC015,,SL009,C, 19.70 , 12.391 
PN 51540,Buy,BA 001,PROD 1001,,BYR 003,,,SL009,, 19.69 ,
PN 63779,Buy,BA 002,PROD 2003,,BYR 008,,,SL006,, 19.69 ,
PN 69771,Buy,BA 002,PROD 2004,,BYR 003,,,SL006,, 19.69 ,
PN 51541,Make,BA 001,PROD 1001,MRP 002,,WC015,,SL009,C, 19.69 , 2.274 
PN 51542,Make,BA 001,PROD 1001,MRP 007,,WC015,,SL009,C, 19.69 , 8.383 
PN 63780,Make,BA 002,PROD 2003,MRP 004,,WC004,,SL006,, 19.69 , 9.320 
PN 63778,Make,BA 002,PROD 2003,MRP 008,,WC002,,SL006,, 19.69 , 18.518 
PN 51545,Buy,BA 001,PROD 1001,,BYR 006,,,SL006,, 19.68 ,
PN 61113,Buy,BA 001,PROD 1003,,BYR 001,,,SL006,, 19.68 ,
PN 62186,Buy,BA 002,PROD 2001,,BYR 009,,,,, 19.68 ,
PN 51544,Make,BA 001,PROD 1001,MRP 001,,WC028,,SL009,C, 19.68 , 18.003 
PN 51543,Make,BA 001,PROD 1001,MRP 003,,WC021,,SL009,A, 19.68 , 14.277 
PN 63783,Make,BA 002,PROD 2003,MRP 008,,WC004,,SL006,, 19.68 , 8.306 
PN 63782,Make,BA 002,PROD 2003,MRP 002,,WC003,,SL009,, 19.68 , 2.936 
PN 63781,Make,BA 002,PROD 2003,MRP 007,,WC002,,SL006,, 19.68 , 11.640 
PN 51549,Buy,BA 001,PROD 1001,,BYR 005,,,SL008,, 19.67 ,
PN 62187,Buy,BA 002,PROD 2001,,BYR 005,,,SL006,, 19.67 ,
